freq    rate     hr     temp
37.6    3.9     0.072428328    80.5
66.9   13.0     0.058345042    69   
112.1  38.9     0.0522087531   63
188.9  46.4     0.0840973364   58
245.4   8.4     0.012071388     0 
286.2  21.8     0.0242433709    0
327.1  12.0     0.0026557054   0
369.0  22.4     0.0091943739   0 
416.6  48.9     0.0084600311   0  
480.6   1.0     0.0011467819   0
546.9  12.0     0.0040841529   0
579.1  24.2     0.0145862605   0
637.5  24.0     0.0115181160   0
676.6  18.0     0.0046575439   0
724.2  18.0	0.0223320678   0
767.3  21.2     0.0364354728   0
812    23.9     0.0093553257   0
855.1  15.8     0.0069511076   0
898.0  18.0     0.0075647365   0
941.2  19.4     0.0030983229   0     
979.9  26.8     0.0059954560   0
1047.1  26.1    0.0038427252   0
1124.2  27.6    0.0080375325   0
1174.8  21.8    0.0300678156   0
1216.2  11.0    0.0053013512   0
1289.5  10.8    0.0056232549   0
1350.1  12.6    0.0080978894   0
1383.5  12.6    0.0049492691   0
1430.9  10.0    0.0019113031   0
1503.2  10.0    0.0029685555   0 
1544.9   9.6    0.0029333473   0
