freq    rate     hr     temp
51.4495 5.05031 0.040009618 77.0000 
120.9716 21.55046 0.030600012 77.0000 
189.1101 24.81873 0.045658083 77.0000 
246.3002 5.40429 0.016067956 77.0000 
287.8823 5.49522 0.015557665 77.0000 
357.2387 5.74789 0.006303253 77.0000 
397.6923 5.03672 0.004537947 77.0000 
569.3392 5.92111 0.006810040 77.0000 
640.4210 15.14739 0.003121144 77.0000 
676.2858 19.13459 0.003056095 0.0000 
637.9098 157.05431 0.058738251 0.0000 
766.6001 115.56562 0.021072439 0.0000 
852.0650 161.15571 0.020167184 0.0000 
1013.2539 186.33939 0.008891512 0.0000 
932.2946 201.51633 0.009525645 0.0000 
1084.1961 5.30772 0.000023954 0.0000 
1154.7160 208.54546 0.032903711 0.0000 
1254.8797 200.29179 0.005288168 0.0000 
1394.6616 179.85418 0.006868109 0.0000 
1334.9153 170.06524 0.007283295 0.0000 
1230.4282 182.81287 0.008358559 0.0000 
1540.0686 211.18765 0.004501915 0.0000 
1483.8230 171.48523 0.002306587 0.0000 
